"V1","plist","pstarts","ncases","Spopsize","Vpopsize","N","coverage"
"Merenga",2,33,2,216.627085441653,232.237873035069,448.864958476722,0.517389180530368
"Morotonga",2,19,9,200.300635765304,11.4505849198072,211.751220685112,0.0540756501084592
"Mosongo",1,15,2,670.189503221523,52.2728025672464,722.462305788769,0.0723536745770785
"Mosongo",18,18,29,684.819266765399,42.341389597064,727.160656362463,0.0582283835443901
"Mosongo",1,44,2,644.992329700077,124.3166210842,769.308950784277,0.161595183518228
"Mosongo",2,47,5,562.407566236628,211.904391077157,774.311957313784,0.273667982362416
"Mosongo",3,57,4,686.743643189254,104.575113055361,791.318756244615,0.132152956353071
"Motukeri",3,21,2,183.958886154566,91.1551000327263,275.113986187292,0.331335753939714
"Motukeri",3,52,2,186.01934811881,108.209573816549,294.228921935359,0.367773409577737
"Mugumu",3,19,7,1692.89623669685,96.7777862743917,1789.67402297124,0.0540756501084594
"Mugumu",4,24,3,1259.48372819894,549.544224316005,1809.02795251494,0.303778735730434
"Mugumu",7,30,8,1473.03492875481,359.729189936787,1832.7641186916,0.196276861963882
"Nyamakendo",2,32,4,364.09800935877,254.177758319598,618.275767678368,0.411107424238926
"Nyamakendo",3,54,6,498.587183897481,149.911913680694,648.499097578175,0.231167497750639
"Nyamburi",5,18,5,419.318328946774,25.9258487498242,445.244177696598,0.0582283835443903
"Nyamburi",1,31,2,169.912618001487,288.037301826659,457.949919828146,0.628971180811103
"Nyansurura",7,25,10,296.797606061631,143.120079831925,439.917685893556,0.325333771342293
"Nyansurura",4,34,9,217.650230818146,230.906071115319,448.556301933465,0.514776116442947
"Nyansurura",1,60,2,185.034850894528,289.52104616458,474.555897059108,0.610088396243276
"Nyiberekera",2,9,3,384.807127367074,48.5255286463733,433.332656013447,0.1119821642172
"Nyiberekera",1,22,2,293.292994872262,152.405489172472,445.698484044734,0.341947515256021
"Nyiberekera",2,42,5,378.765494738071,86.6932659434287,465.4587606815,0.186253376811508
"Nyichoka",5,21,14,359.926152073725,139.103477587219,499.029629660944,0.278747932626225
"Nyichoka",1,38,2,391.601547548829,126.148643927334,517.750191476163,0.243647701158101
"Itununu",11,24,18,480.873028787451,18.7988542896135,499.671883077064,0.0376223976699409
"Itununu",9,45,11,518.754708071491,4.26122226385291,523.015930335344,0.00814740434602198
"Itununu",5,56,7,533.684974560155,1.9617976887212,535.646772248876,0.00366248391731127
"Kegonga",2,18,2,215.430923980832,13.3197839579077,228.750707938739,0.0582283835443901
"Kegonga",9,28,15,227.201600689589,6.57333199274761,233.774932682337,0.0281182071889621
"Kwitete",12,20,28,282.335458335967,14.9658770298475,297.301335365814,0.0503390844559537
"Kwitete",2,34,5,300.915027997784,5.56808573282753,306.483113730611,0.0181676754228022
"Kwitete",4,38,7,304.960389430324,4.19779540839218,309.158184838716,0.0135781474153179
"Kwitete",2,45,5,311.349517227954,2.55752762145297,313.907044849407,0.00814740434602197
"Kwitete",5,51,3,316.351657503644,1.67414613564785,318.025803639292,0.00526418333509403
"Matare",3,23,2,129.455491620983,152.742092063933,282.197583684916,0.541259390209646
"Matare",1,34,3,218.69267479889,70.3199844146425,289.012659213532,0.243311087500453
"Ngarawani",11,25,19,267.237629820951,9.67512177754252,276.912751598494,0.0349392424931404
"Ngarawani",3,38,3,280.967646605927,3.86753407231791,284.835180678245,0.0135781474153179
"Ngarawani",4,57,3,295.839976369357,1.00966959203285,296.84964596139,0.00340128279002284
"Nyamitita",2,42,9,246.857633008569,2.53080092500813,249.388433933577,0.0101480284594201
"Nyamitita",1,48,3,251.003996265022,1.6566509597614,252.660647224783,0.00655682227508719
"Nyamitita",1,54,2,254.891358760058,1.08443630447526,255.975795064534,0.00423647987577052
"Nyamoko",14,25,19,303.119536284497,10.9741971168867,314.093733401384,0.0349392424931404
"Nyamoko",5,41,13,321.658990666283,3.54514640513721,325.20413707142,0.0109012955279798
"Nyamoko",2,50,2,329.734021865531,1.87973457144068,331.613756436972,0.00566844569910943
"Borenga",1,16,2,330.365381955642,23.8584327229936,354.223814678636,0.0673541183125668
"Borenga",3,22,3,343.253944518771,15.6176232900749,358.871567808846,0.043518697748699
"Borenga",2,31,4,154.103606832845,211.841149555536,365.944756388381,0.578888331797018
"Borenga",2,43,2,284.837906076816,90.7729371716811,375.610843248497,0.241667509879706
"Buchanchari",5,20,3,386.530687084505,20.48899831875,407.019685403255,0.0503390844559534
"Buchanchari",4,44,11,327.200820675387,101.574384563435,428.775205238822,0.236894259095181
"Busawe",2,12,2,151.499988849805,15.0055410790241,166.505529928829,0.0901203766952246
"Busawe",2,44,4,124.378567930974,54.1021506965233,178.480718627497,0.303126024550801
"Gesarya",7,22,30,451.463198343117,20.5410084097944,472.004206752911,0.0435186977486991
"Gesarya",4,31,4,236.956168440324,244.351017772974,481.307186213298,0.507682047499467
"Gesarya",1,37,2,327.67131145973,159.95108250817,487.622393967899,0.32802242982856
"Gesarya",2,44,4,397.400408775913,97.6768982654922,495.077307041405,0.19729625429453
"Gusuhi",9,43,8,267.337982535982,96.4642511190573,363.802233655039,0.265155741760854
"Kemgesi",1,20,2,383.461823389117,20.326325741394,403.788149130511,0.0503390844559537
"Kemgesi",4,24,3,391.988452216766,15.3240738309139,407.31252604768,0.0376223976699408
"Kenyamonta",2,13,8,255.679008073012,23.3530797456584,279.032087818671,0.0836931692273127
"Kenyamonta",2,29,2,281.358191926215,7.5440677643569,288.902259690572,0.0261128721265003
"Kenyamonta",3,42,3,172.680484253546,124.46605504966,297.146539303206,0.418870956200692
"Kenyana",1,23,3,276.162687613053,11.6311985677163,287.79388618077,0.0404150300830593
"Kenyana",3,28,2,282.74653320908,8.18034215842072,290.926875367501,0.028118207188962
"Kenyana",3,41,4,260.484939885653,38.7653066137359,299.250246499389,0.129541435862493
"Kitembere",1,26,2,195.877513954237,89.558286208631,285.435800162868,0.313759823251076
"Maburi",1,20,2,566.132280409889,30.0092171956648,596.141497605553,0.0503390844559539
"Magatini",1,14,2,243.977553935615,20.6143748562967,264.591928791912,0.0779100668354434
"Magatini",2,41,2,178.38014486774,102.187093546549,280.567238414289,0.36421605788363
"Masangura",9,29,18,189.355132968586,5.07718629005993,194.432319258646,0.0261128721265004
"Masangura",2,49,3,152.741432348214,50.3111458614207,203.052578209635,0.247773982015035
"Masangura",3,55,3,172.783370102311,32.9334509302626,205.716821032573,0.160091191206226
"Mesaga",2,31,2,153.348484062926,188.483633354611,341.832117417537,0.551392405074635
"Musati",9,23,14,358.060233851266,15.0804937304288,373.140727581694,0.0404150300830592
"Musati",3,51,5,317.539520334649,78.9768304803215,396.51635081497,0.199176730840982
"Musati",4,57,10,350.021142419219,51.6978797981583,401.719022217377,0.128691640024414
"Nyagasense",1,10,2,504.98636571441,58.7682155567142,563.754581271124,0.104244324585721
"Nyagasense",1,14,2,524.369668263601,44.3055220879477,568.675190351549,0.0779100668354434
"Nyamakobiti",1,60,6,390.412282189204,34.2281060665841,424.640388255788,0.080604923632385
"Nyamatare",3,24,3,311.320096981588,12.1704915647744,323.490588546363,0.0376223976699407
"Nyamatare",1,46,2,318.50384113743,20.800019210416,339.303860347846,0.0613020411530017
"Nyamatoke",2,25,2,357.167596301725,12.9309633210212,370.098559622747,0.0349392424931405
"Nyamatoke",5,30,4,365.033055914737,9.09448014218797,374.127536056925,0.0243085024909907
"Nyambureti",2,19,2,312.288881096943,17.852616088059,330.141497185002,0.0540756501084591
"Nyamerama",14,23,25,259.812905212716,10.9425915466848,270.755496759401,0.0404150300830593
"Nyamerama",9,44,18,217.729915392846,65.6345680198943,283.36448341274,0.231625951246307
"Nyiboko",9,21,12,366.356636131671,17.966733299884,384.323369431555,0.0467490002662555
"Nyiboko",2,45,2,365.576546376073,39.2892073038052,404.865753679878,0.0970425553327256
"Ring'wani",3,17,3,155.937766329021,10.4048212527338,166.342587581754,0.0625505554770813
"Ring'wani",1,23,4,161.71421100689,6.81094942875914,168.525160435649,0.0404150300830593
"Ring'wani",1,29,2,166.277953703921,4.45841701595077,170.736370719872,0.0261128721265003
"Rung'abure",14,24,32,448.157529139098,17.5199014806941,465.677430619792,0.0376223976699409
"Rung'abure",4,41,8,326.6848340884,156.496403223758,483.181237312157,0.323887583247886
"Rung'abure",1,51,2,416.562518495208,77.2311936373364,493.793712132544,0.156403760800838
"Rung'abure",1,57,4,449.717561242592,50.5551937327513,500.272754975343,0.101055260815159
